time,key
7.79,Q
9.82,Q
11.82,Q
13.84,Q
14.32,W
14.78,E
15.85,W
17.81,W
19.86,W
21.82,Q
22.3,W
22.75,E
23.89,E
25.84,E
27.84,E
29.82,Q
30.33,W
30.78,E
31.89,Q
33.85,Q
35.87,Q
37.87,Q
38.35,W
38.81,E
39.87,E
41.87,E
43.87,E
45.86,Q
46.36,W
46.83,E
47.91,W
49.91,W
51.91,W
53.88,Q
54.38,W
54.88,E
55.93,Q
56.77,Q
57.1,Q
57.9,W
58.74,W
59.1,W
59.9,E
60.78,E
61.1,E
61.89,Q
62.41,W
62.85,E
63.87,Q
64.71,Q
65.09,Q
65.89,W
66.76,W
67.14,W
67.91,E
68.78,E
69.11,E
69.86,Q
70.38,W
70.84,E
71.9,W
72.8,W
73.13,W
73.9,Q
74.76,Q
75.11,Q
75.93,E
76.72,E
77.11,E
77.9,Q
78.39,W
78.85,E
79.9,Q
80.75,Q
81.1,Q
81.92,W
82.74,W
83.09,W
83.93,E
84.75,E
85.13,E
85.91,Q
86.38,W
86.81,E
87.87,Q
89.9,W
91.9,E
93.9,Q
94.42,W
94.86,E
95.93,Q
