time,key
48.92,Q
49.73,Q
50.51,Q
51.29,Q
52.09,W
52.87,W
53.64,W
54.43,W
55.21,E
56.03,E
56.82,E
57.63,E
58.4,Q
59.17,Q
59.98,Q
60.74,Q
61.56,W
62.34,W
63.14,W
63.91,W
64.7,E
65.51,E
66.3,E
67.07,E
67.84,Q
68.65,Q
69.48,Q
70.2,Q
71.07,Q
71.84,Q
72.61,Q
73.39,Q
74.19,Q
74.98,Q
75.78,Q
76.56,Q
77.4,Q
78.15,W
78.92,W
79.7,W
80.52,W
81.32,W
82.09,W
82.87,W
83.69,W
84.44,E
85.24,E
86.03,Q
86.84,Q
87.6,Q
88.08,Q
88.36,W
89.21,W
89.56,Q
89.97,Q
90.76,Q
91.15,Q
91.55,W
92.35,W
92.75,W
93.14,E
93.93,E
94.31,E
94.72,Q
95.55,Q
95.92,Q
96.31,W
97.13,W
97.46,W
97.86,Q
98.66,Q
99.03,Q
99.42,W
100.21,W
100.98,W
101.82,Q
102.2,Q
102.59,Q
102.97,E
103.4,E
104.2,E
104.97,W
105.34,W
105.74,W
106.14,Q
106.57,Q
107.37,Q
108.15,E
108.94,E
109.72,E
110.52,W
111.27,W
112.07,W
