time,key
7.79,Z
9.82,Z
11.82,Z
13.84,Z
14.32,X
14.78,C
15.85,X
17.81,X
19.86,X
21.82,Z
22.3,X
22.75,C
23.89,C
25.84,C
27.84,C
29.82,Z
30.33,X
30.78,C
31.89,Z
33.85,Z
35.87,Z
37.87,Z
38.35,X
38.81,C
39.87,C
41.87,C
43.87,C
45.86,Z
46.36,X
46.83,C
47.91,X
49.91,X
51.91,X
53.88,Z
54.38,X
54.88,C
55.93,Z
56.77,Z
57.1,Z
57.9,X
58.74,X
59.1,X
59.9,C
60.78,C
61.1,C
61.89,Z
62.41,X
62.85,C
63.87,Z
64.71,Z
65.09,Z
65.89,X
66.76,X
67.14,X
67.91,C
68.78,C
69.11,C
69.86,Z
70.38,X
70.84,C
71.9,X
72.8,X
73.13,X
73.9,Z
74.76,Z
75.11,Z
75.93,C
76.72,C
77.11,C
77.9,Z
78.39,X
78.85,C
79.9,Z
80.75,Z
81.1,Z
81.92,X
82.74,X
83.09,X
83.93,C
84.75,C
85.13,C
85.91,Z
86.38,X
86.81,C
87.87,Z
89.9,X
91.9,C
93.9,Z
94.42,X
94.86,C
95.93,Z
