time,key
9.8,Z
10.23,Z
10.5,Z
11.01,X
11.52,X
11.83,X
12.36,C
12.8,C
13.14,C
13.69,Z
14.38,Z
14.89,Z
15.31,X
15.62,X
16.15,X
16.57,C
16.89,C
17.46,C
18.15,Z
18.79,Z
19.46,Z
19.75,X
20.03,X
20.74,X
21.02,C
21.35,C
22,C
22.3,Z
22.63,Z
23.26,Z
23.58,C
23.91,C
24.5,C
24.8,X
25.13,X
25.46,X
25.79,C
26.31,C
26.77,C
27.03,X
27.57,X
27.96,X
28.28,Z
28.88,Z
29.24,Z
29.55,Z
30.06,X
30.52,X
30.85,X
31.39,C
31.79,C
32.1,C
32.73,Z
33.37,Z
33.87,Z
34.26,X
34.58,X
35.22,X
35.86,C
36.38,C
36.81,C
37.12,X
37.76,X
38.39,X
38.97,Z
40.15,Z
40.55,Z
40.89,Z
41.39,Z
41.85,Z
42.18,X
42.65,X
43.11,X
43.42,C
43.91,C
44.35,C
44.67,Z
45.17,Z
45.61,Z
45.94,X
46.45,X
46.91,X
47.23,C
47.79,C
48.19,C
48.53,X
49.01,X
49.43,X
49.75,Z
50.24,Z
50.68,Z
51.01,X
51.51,X
51.96,X
52.26,C
52.77,C
53.21,C
53.53,Z
54.02,Z
54.47,Z
54.78,X
55.27,X
55.71,X
56.04,C
56.53,C
57.01,C
57.32,Z
57.88,Z
58.3,Z
58.62,X
59.24,X
59.41,X
59.59,C
59.88,C
60.2,C
60.37,C
